City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,tasiilaq,GL,2020-11-09 22:23:59,65.61,-37.64,31.46,97,100,29.86
1,fairbanks,US,2020-11-09 22:20:19,64.84,-147.72,26.6,79,75,5.82
2,petropavlovskoye,RU,2020-11-09 22:30:46,52.07,84.11,37.33,76,100,12.5
3,upernavik,GL,2020-11-09 22:24:07,72.79,-56.15,1.47,82,46,6.91
4,new norfolk,AU,2020-11-09 22:23:56,-42.78,147.06,64.0,59,98,1.01
5,nuzvid,IN,2020-11-09 22:30:46,16.78,80.85,63.64,70,0,4.16
6,bredasdorp,ZA,2020-11-09 22:30:47,-34.53,20.04,50.0,81,21,4.7
7,yellowknife,CA,2020-11-09 22:30:05,62.46,-114.35,26.01,85,75,6.93
8,bengkulu,ID,2020-11-09 22:30:47,-3.8,102.27,76.1,83,98,3.18
9,gubkinskiy,RU,2020-11-09 22:30:48,64.43,76.5,14.85,97,98,4.29
10,alpena,US,2020-11-09 22:30:48,45.06,-83.43,71.6,56,1,13.87
11,port alfred,ZA,2020-11-09 22:30:48,-33.59,26.89,60.48,63,100,6.76
12,narsaq,GL,2020-11-09 22:21:25,60.92,-46.05,24.01,95,45,4.7
13,torbay,CA,2020-11-09 22:21:21,47.67,-52.73,39.99,100,90,6.93
14,hermanus,ZA,2020-11-09 22:30:49,-34.42,19.23,54.0,82,82,8.14
15,lobatse,BW,2020-11-09 22:30:49,-25.22,25.67,69.8,77,72,5.82
16,port hardy,CA,2020-11-09 22:25:36,50.7,-127.42,41.0,100,90,13.87
17,carnarvon,AU,2020-11-09 22:20:27,-24.87,113.63,66.2,55,90,14.99
18,ola,RU,2020-11-09 22:30:50,59.58,151.28,7.43,85,64,12.01
19,provideniya,RU,2020-11-09 22:23:57,64.38,-173.3,37.4,93,90,11.18
20,saint-pierre,RE,2020-11-09 22:22:32,-21.34,55.48,71.6,68,0,6.93
21,bambous virieux,MU,2020-11-09 22:22:27,-20.34,57.76,71.6,78,40,9.17
22,umm kaddadah,SD,2020-11-09 22:30:50,13.6,26.69,74.52,23,11,15.39
23,lazaro cardenas,MX,2020-11-09 22:25:40,17.96,-102.2,82.15,73,10,7.2
24,ilulissat,GL,2020-11-09 22:21:11,69.22,-51.1,5.88,92,100,4.09
25,tucuman,AR,2020-11-09 22:30:51,-26.82,-65.22,82.4,45,75,12.75
26,vila franca do campo,PT,2020-11-09 22:25:11,37.72,-25.43,64.4,88,20,16.11
27,ushuaia,AR,2020-11-09 22:24:05,-54.8,-68.3,51.8,37,40,8.05
28,mataura,NZ,2020-11-09 22:24:08,-46.19,168.86,52.0,79,17,3.0
29,kahului,US,2020-11-09 22:25:25,20.89,-156.47,89.6,46,40,25.28
30,cape town,ZA,2020-11-09 22:23:31,-33.93,18.42,57.99,66,0,12.75
31,constitucion,CL,2020-11-09 22:22:44,-35.33,-72.42,61.83,66,6,16.06
32,kidal,ML,2020-11-09 22:25:02,18.44,1.41,71.92,22,0,10.51
33,avarua,CK,2020-11-09 22:23:53,-21.21,-159.78,80.6,78,17,14.99
