City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,sao filipe,CV,78.85,clear sky,14.9,-24.5,Tortuga B&B
6,ewa beach,US,87.8,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
9,carnarvon,AU,68.0,clear sky,-24.87,113.63,Hospitality Carnarvon
10,hobart,AU,84.99,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
11,airai,TL,75.38,light rain,-8.93,125.41,Juvinal Martin
16,rikitea,PF,73.8,clear sky,-23.12,-134.97,Pension Maro'i
17,victoria,HK,73.0,clear sky,22.29,114.16,Mini Hotel Central
18,aden,YE,79.68,clear sky,12.78,45.04,Sama Emirate Hotel
20,vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
22,albany,US,63.0,clear sky,42.6,-73.97,
25,moussoro,TD,75.22,clear sky,13.64,16.49,Pharmacie alnadja Moussoro
34,atuona,PF,78.03,clear sky,-9.8,-139.03,Villa Enata
35,cabo san lucas,MX,77.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
39,bull savanna,JM,76.19,overcast clouds,17.89,-77.59,Big Red's
42,hambantota,LK,75.2,thunderstorm,6.12,81.12,Bungalow 63
45,fayaoue,NC,73.51,light rain,-20.65,166.53,Chez Dydyce Guesthouse
46,mar del plata,AR,64.4,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
47,kapaa,US,82.4,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
49,tiarei,PF,73.4,light rain,-17.53,-149.33,Le Rocher de Tahiti
50,tombouctou,ML,78.04,clear sky,20.0,-3.0,
51,saint-philippe,RE,71.6,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
54,sandakan,MY,78.8,scattered clouds,5.84,118.12,Hotel Sandakan
61,bambous virieux,MU,73.4,broken clouds,-20.34,57.76,Casa Tia Villa
62,siderno,IT,64.0,clear sky,38.28,16.3,Grand Hotel President
