City_ID,City,Coounty,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,saint george,US,2020-11-07 22:30:45,37.1,-113.58,59.0,19,1,26.4
1,kontagora,NG,2020-11-07 22:30:15,10.4,5.47,73.11,32,14,3.6
2,puerto ayora,EC,2020-11-07 22:31:08,-0.74,-90.35,77.0,65,20,20.8
3,saint-georges,GD,2020-11-07 22:33:20,12.06,-61.75,82.4,83,20,18.34
4,rikitea,PF,2020-11-07 22:32:34,-23.12,-134.97,71.64,70,40,15.77
5,kurumkan,RU,2020-11-07 22:34:09,54.3,110.3,15.24,78,67,1.05
6,busselton,AU,2020-11-07 22:29:39,-33.65,115.33,55.0,66,31,2.33
7,norman wells,CA,2020-11-07 22:33:34,65.28,-126.83,28.4,100,75,3.36
8,camana,PE,2020-11-07 22:33:24,-16.62,-72.71,64.24,75,73,3.94
9,bluff,NZ,2020-11-07 22:32:49,-46.6,168.33,53.01,57,20,5.99
10,khani,GE,2020-11-07 22:33:16,41.96,42.96,53.6,87,90,12.75
11,kaduna,NG,2020-11-07 22:32:46,10.52,7.44,71.15,27,58,5.79
12,mataura,NZ,2020-11-07 22:32:49,-46.19,168.86,53.01,57,39,5.99
13,okhotsk,RU,2020-11-07 22:32:48,59.38,143.3,10.08,89,93,14.99
14,jamestown,US,2020-11-07 22:32:49,42.1,-79.24,62.6,42,1,4.7
15,zilupe,LV,2020-11-07 22:34:11,56.39,28.12,49.39,90,100,11.7
16,kapuskasing,CA,2020-11-07 22:34:11,49.42,-82.43,37.4,93,100,3.36
17,praia,CV,2020-11-07 22:34:11,14.92,-23.51,78.8,78,0,13.87
18,atuona,PF,2020-11-07 22:34:12,-9.8,-139.03,77.81,74,52,12.8
19,port elizabeth,ZA,2020-11-07 22:32:36,-33.92,25.57,62.6,93,0,8.05
20,airai,TL,2020-11-07 22:32:37,-8.93,125.41,71.83,44,69,3.47
21,arua,UG,2020-11-07 22:34:12,3.02,30.91,63.23,91,59,2.75
22,liuhe,CN,2020-11-07 22:34:12,42.24,125.72,25.72,80,0,8.77
23,saint-philippe,RE,2020-11-07 22:32:41,-21.36,55.77,73.4,77,0,6.93
24,tuktoyaktuk,CA,2020-11-07 22:32:52,69.45,-133.04,26.6,86,75,24.16
25,ushuaia,AR,2020-11-07 22:28:28,-54.8,-68.3,57.2,54,40,9.17
26,narsaq,GL,2020-11-07 22:33:55,60.92,-46.05,28.4,74,100,2.24
27,belyy yar,RU,2020-11-07 22:34:13,53.6,91.39,24.8,92,40,1.95
28,kangaba,ML,2020-11-07 22:34:13,11.93,-8.42,76.93,23,0,3.89
29,sabha,LY,2020-11-07 22:34:13,27.04,14.43,59.04,59,0,7.94
30,otane,NZ,2020-11-07 22:34:14,-39.88,176.63,73.9,50,47,9.46
31,punta arenas,CL,2020-11-07 22:32:35,-53.15,-70.92,57.2,58,40,32.21
32,middle island,US,2020-11-07 22:34:14,40.88,-72.94,63.0,59,1,6.93
33,longyearbyen,SJ,2020-11-07 22:34:14,78.22,15.64,28.4,79,96,4.74
34,kruisfontein,ZA,2020-11-07 22:33:20,-34.0,24.73,57.99,88,0,1.01
35,shimoda,JP,2020-11-07 22:33:52,34.67,138.95,69.82,58,97,14.14
36,talnakh,RU,2020-11-07 22:32:44,69.49,88.4,17.6,92,75,22.37
37,ocos,GT,2020-11-07 22:33:14,14.51,-92.19,84.2,83,75,11.41
38,hermanus,ZA,2020-11-07 22:32:51,-34.42,19.23,59.0,90,11,1.99
39,kahului,US,2020-11-07 22:29:50,20.89,-156.47,87.8,52,40,17.22
40,kourou,GF,2020-11-07 22:34:15,5.16,-52.65,78.8,100,0,2.24
41,victoria,HK,2020-11-07 22:28:55,22.29,114.16,77.0,47,33,11.01
42,arraial do cabo,BR,2020-11-07 22:33:01,-22.97,-42.03,73.4,78,75,5.82
43,castro,BR,2020-11-07 22:28:44,-24.79,-50.01,66.29,54,0,3.51
44,north bend,US,2020-11-07 22:34:16,43.41,-124.22,53.01,76,90,16.11
45,abay,KZ,2020-11-07 22:34:17,49.63,72.85,42.8,38,0,24.61
46,straumen,NO,2020-11-07 22:33:46,63.87,11.3,44.01,93,75,10.29
47,fujin,CN,2020-11-07 22:34:17,47.26,132.03,29.08,95,91,3.62
48,ranong,TH,2020-11-07 22:34:17,9.97,98.63,77.13,87,41,3.8
49,kodiak,US,2020-11-07 22:33:23,57.79,-152.41,42.8,81,90,11.41
50,vaini,TO,2020-11-07 22:34:18,-21.2,-175.2,80.6,69,20,6.93
51,port alfred,ZA,2020-11-07 22:32:47,-33.59,26.89,68.23,87,8,11.95
52,mokhotlong,LS,2020-11-07 22:34:18,-29.29,29.07,57.85,43,9,8.72
53,zaragoza,ES,2020-11-07 22:34:18,41.66,-0.88,59.0,72,40,3.36
54,lompoc,US,2020-11-07 22:31:31,34.64,-120.46,57.2,67,75,16.11
55,touros,BR,2020-11-07 22:34:19,-5.2,-35.46,80.6,83,40,10.29
56,pevek,RU,2020-11-07 22:32:56,69.7,170.31,16.14,96,100,2.3
57,amahai,ID,2020-11-07 22:32:51,-3.33,128.92,82.99,92,100,3.2
58,albany,US,2020-11-07 22:30:02,42.6,-73.97,62.01,49,90,3.76
59,phuket,TH,2020-11-07 22:34:19,8.0,98.25,84.0,94,40,7.81
60,new norfolk,AU,2020-11-07 22:33:12,-42.78,147.06,57.0,45,5,1.99
61,east london,ZA,2020-11-07 22:32:46,-33.02,27.91,69.93,75,0,12.62
62,ribeira grande,PT,2020-11-07 22:33:03,38.52,-28.7,59.0,77,40,10.29
63,ponazyrevo,RU,2020-11-07 22:34:19,58.36,46.31,36.34,88,90,11.1
64,grafton,US,2020-11-07 22:30:32,42.21,-71.69,64.4,45,1,8.05
65,qaanaaq,GL,2020-11-07 22:33:02,77.48,-69.36,-12.33,70,0,8.9
66,bethel,US,2020-11-07 22:33:06,41.37,-73.41,64.0,51,1,4.27
67,vila velha,BR,2020-11-07 22:32:47,-20.33,-40.29,77.0,83,90,4.7
68,fortuna,US,2020-11-07 22:33:20,40.6,-124.16,55.0,62,75,23.04
69,zhezkazgan,KZ,2020-11-07 22:33:33,47.8,67.71,48.04,44,96,11.36
70,ust-tsilma,RU,2020-11-07 22:33:39,65.44,52.15,31.75,98,97,4.0
71,caravelas,BR,2020-11-07 22:34:21,-17.71,-39.25,74.98,92,1,5.19
72,lebu,CL,2020-11-07 22:33:20,-37.62,-73.65,54.43,73,0,22.68
73,vuktyl,RU,2020-11-07 22:34:21,63.86,57.31,30.67,98,100,8.68
74,rosetta,EG,2020-11-07 22:34:21,31.4,30.42,66.2,82,40,4.7
75,meybod,IR,2020-11-07 22:34:21,32.25,54.02,55.4,16,0,2.24
76,ponta do sol,PT,2020-11-07 22:32:48,32.67,-17.1,64.4,72,20,2.24
77,portland,US,2020-11-07 22:34:21,45.52,-122.68,48.99,81,90,5.82
78,cape town,ZA,2020-11-07 22:32:50,-33.93,18.42,61.0,87,75,16.11
79,chuy,UY,2020-11-07 22:32:58,-33.7,-53.46,60.28,93,8,6.69
80,sainte-rose,GP,2020-11-07 22:34:22,16.33,-61.7,80.6,78,45,4.7
81,rio gallegos,AR,2020-11-07 22:34:22,-51.62,-69.22,66.2,32,40,24.16
82,georgetown,MY,2020-11-07 22:29:26,5.41,100.34,78.8,94,20,3.36
83,iqaluit,CA,2020-11-07 22:32:43,63.75,-68.51,10.4,72,75,4.7
84,lavrentiya,RU,2020-11-07 22:33:14,65.58,-171.0,29.59,95,54,7.85
85,gua,IN,2020-11-07 22:34:23,22.2,85.38,57.31,64,0,1.12
86,nikolskoye,RU,2020-11-07 22:34:23,59.7,30.79,48.2,81,90,15.66
87,chokurdakh,RU,2020-11-07 22:34:23,70.63,147.92,1.69,95,100,5.53
