City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,schaffhausen,CH,2020-11-11 00:43:48,47.7,8.63,42.01,100,90,1.12,fog
1,sao filipe,CV,2020-11-11 00:43:48,14.9,-24.5,78.85,74,0,5.23,clear sky
2,kodiak,US,2020-11-11 00:39:17,57.79,-152.41,44.6,75,90,16.11,light rain
3,lebu,CL,2020-11-11 00:43:48,-37.62,-73.65,52.23,90,0,12.48,clear sky
4,bam,IR,2020-11-11 00:43:48,29.11,58.36,52.99,55,27,1.83,scattered clouds
5,vardo,NO,2020-11-11 00:43:49,70.37,31.11,37.74,79,100,15.37,overcast clouds
6,ewa beach,US,2020-11-11 00:40:19,21.32,-158.01,87.8,45,40,11.41,scattered clouds
7,busselton,AU,2020-11-11 00:39:58,-33.65,115.33,54.0,87,53,4.03,broken clouds
8,pevek,RU,2020-11-11 00:43:49,69.7,170.31,21.04,96,100,12.86,overcast clouds
9,carnarvon,AU,2020-11-11 00:39:14,-24.87,113.63,68.0,42,7,17.22,clear sky
10,hobart,AU,2020-11-11 00:39:25,-42.88,147.33,84.99,31,0,10.29,clear sky
11,airai,TL,2020-11-11 00:43:50,-8.93,125.41,75.38,65,100,2.64,light rain
12,saint george,US,2020-11-11 00:43:38,37.1,-113.58,51.8,37,1,1.7,clear sky
13,cherskiy,RU,2020-11-11 00:35:51,68.75,161.3,-4.32,92,99,4.61,overcast clouds
14,khatanga,RU,2020-11-11 00:35:51,71.97,102.5,-9.2,90,52,5.7,broken clouds
15,nikolskoye,RU,2020-11-11 00:40:00,59.7,30.79,28.0,92,71,4.47,fog
16,rikitea,PF,2020-11-11 00:43:50,-23.12,-134.97,73.8,80,7,19.39,clear sky
17,victoria,HK,2020-11-11 00:40:53,22.29,114.16,73.0,65,0,3.0,clear sky
18,aden,YE,2020-11-11 00:43:50,12.78,45.04,79.68,73,0,10.11,clear sky
